Daerah,Nama Kuliner,Bahan Utama (mis: beras),Bahan pengganti (mis: sagu),"Bahan pelengkap (mis: serundeng, ikan asin)","Bumbu Utama dominan (mis: kelapa, daun pandan, daun jeruk)","Bentuk dan tekstur (mis: nasi pulen, ikan empuk)",Cara memasak khusus (mis: dengan tungku),Cara penyajian khusus (mis: dengan daun pisang),Deskripsikan Aroma lebih detail,Deskripsikan Rasa lebih detail,Apa rasa dominan kuliner tersebut ?,Level Pedas kuliner lokal di bawah ini,Level Gurih kuliner lokal di bawah ini ,Level Manis kuliner lokal di bawah ini,Level Asin kuliner lokal di bawah ini,Level Asam kuliner lokal di bawah ini ,Bagaimana aroma kuliner tersebut?,Nutrisi dari makanan,Tekstur makanan (mudah dikunyah/ tingkat kelembutan makanan),Penggunaan bahan alami,Kesegaran makanan,Kebersihan makanan,Status halal makanan
Ambon,Nasi kelapa,"beras, kelapa",tidak ada,"ikan saus, ikan asin, serundeng, cabai prekedel","cabai merah keriting, rawit",nasi pulen,tidak ada,dibungkus daun pisang,"aroma santan, serundeng","asam, asin",Gurih dengan dominan bumbuu rempah tertentu,2,3,3,3,2,Agak berbau khas tertentu,4,5,5,5,4,Halal
,Ikan bakar,ikan kembung kawalinya,ikan tongkol,lemon cina,garam,ikannya lembut,dipaje arang tempurung kelapa,tidak ada,aroma ikan segar,gurih,Asin dengan rasa garam yang kuat,1,4,3,3,3,Agak berbau khas tertentu,5,5,5,5,4,Halal
,Sambal colo-colo,lemon cina,tidak ada,"daun kemang, bawang merah, cabai rawit, tomat",garam,irisan bahan lengkap,tidak ada,tidak ada,aroma segar asam,asam pedas,Pedas dengan dominan bumbu rempah tertentu,4,2,2,3,5,Agak berbau khas tertentu,3,5,5,5,4,Halal
Bali,Ayam Betutu,Daging Ayam Kampung,Tidak Ada (Kami Specialist Ayam),Tidak ada,Base Genep (Bumbu Lengkap),Ayamnya lembut dengan sedikit kuah gurih,Direbus kemudian di panggang dengan dibungkus daun pisang,"Disuir, dialasi daun pisang",Aroma Gurih dan Daun Pisang,"Kaya rempah, gurih, empuk",Gurih dengan dominan bumbuu rempah tertentu,3,5,2,2,3,Aroma rempah yang kuat,4,3,5,5,5,Halal
,Sate Lilit,Daging Ayam,Tidak ada,Santan Kelapa,Base Genep (Bumbu Lengkap),"Adonan lembut, mudah dikunyah (cincangan/gilingan seragam)",Dipanggang,Tidak Ada,"Aroma panggang yang khas (seperti asap), Gurih",Kaya rempah,Gurih dengan dominan bumbuu rempah tertentu,2,4,4,1,1,Aroma rempah yang sedang,3,4,5,5,5,Halal
,Tum,Daging ayam,Tidak Ada,Santan Kelapa,Base Genep (Bumbu Lengkap),Lembut dan Juicy,Kukus,Dibungkus Daung Pisang,"Harum dan aroma base genep,daun pisang",Kaya rempah,Asin dengan dominan bumbu rempah tertentu,2,3,2,3,1,Aroma rempah yang kuat,3,5,5,5,5,Halal
,Jukut Urab,Kacang Panjang,Pakis Sayur,Kelapa Parut,"Sambel Embe (Sambal Bawang putih, merah Goreng, cabe, garam)",Lembut,Di kukus / rebus,Bahan dan Bumbu dicampur merata,Harum,"Gurih, pedas",Pedas dengan dominan bumbu rempah tertentu,3,4,1,2,1,Aroma rempah yang kuat,4,4,5,5,5,Halal
,Lawar,0,0,0,0,0,0,0,0,0,Pedas dengan dominan bumbu rempah tertentu,3,4,2,2,1,Aroma rempah yang kuat,4,4,5,5,5,Halal
Banjarbaru,Nasi Sop Banjar,Ayam Kampung,Tidak Ada,"Bawang Goreng, Soun, Perkedel Kentang+Singkong, Daun Seledri, Jeruk Purut","Kunyit, Kayu Manis, Bawang Merah, Bawang Putih","Kuah Kuning, Kental, Potongan Ayam Suwir",Dimasak dengan kompor gas,Disajikan bersama nasi putih diatas piring,"Aroma bawang putih, daun bawang, dan daun seledri yang kuat",Rasa gurih kaldu ayam dan manis,Gurih dengan dominan bumbuu rempah tertentu,1,3,3,3,1,Aroma rempah yang kuat,5,3,5,5,5,Halal
,Soto Banjar,Ayam Kampung,Tidak Ada,"Bawang Goreng, Soun, Perkedel Kentang+Singkong, Daun Seledri, Jeruk Purut","Kunyit, Kayu Manis, Bawang Merah, Bawang Putih","Kuah Kuning, Kental, Potongan Ayam Suwir",Dimasak dengan kompor gas,Disajikan bersama ketupat diatas piring,"Aroma Bawang Putih, Daun Bawang, dan Daun Seledri yang kuat",Rasa gurih kaldu ayam dan manis,Gurih dengan dominan bumbuu rempah tertentu,1,3,3,3,1,Aroma rempah yang kuat,5,3,5,5,5,Halal
,Sate Ayam,Ayam Broiler,Tidak Ada,Bawang Goreng,"Kacang Tanah, Cabe Kering, Gula Merah, Kecap, Bawang Merah, Bawang Putih","Potongan daging empuk, Warna merah",Dibakar diatas arang,Disajikan bersama ketupat diatas piring,Aroma Kacang,Manis dan Gurih Bumbu Kacang,Gurih dengan dominan bumbuu rempah tertentu,1,3,3,3,1,Aroma rempah yang kuat,3,3,5,5,5,Halal
Makassar,Coto Makassar,daging sapi,tidak ada,"daun bawang, bawang goreng dan jeruk nipis","lengkuas, ketumbar, merica, serei, dan kayu manis",potongan daging kecil dengan tekstur lembut,meggunakan,dengan mangkuk kecil,aroma kuah coto yang khas,rasa kuah coto yang gurih,Pedas dengan dominan bumbu rempah tertentu,1,4,1,1,1,Agak berbau khas tertentu,3,3,5,5,5,Halal
Manado,Tinutuan,"Labu kuning, beras pulen","Ubi Kayu, ubi jalar","Sayur kangkung, sayur bayam, daun singkong, singkong, jagung, bawang goreng","Bawang merah, bawang putih, daun kunyit, sereh, daun kemangi, daun serei, daun bawang, daun pandan, air","Berkuah, kental, lembut, encer","Dengan kuali, atau dengan dandang","Disajikan dengan makanan pendemping Sambal roa, sambal bakasang, ikan asin, perkedel nike, perkedel jagung","Aroma rempah-rempah yang kuat, aroma daun kemangi","Rasa dominan gurih, rasa labu kuning yang kuat, jagung yang manis, campuran rempah-rempah, sayur-sayuran segar.",Pedas dengan dominan bumbu rempah tertentu,1,3,2,1,1,Aroma rempah yang kuat,4,4,4,4,4,Halal
,Nasi goreng roa/cakalang,"Nasi, ikan roa",ikan cakalang,"Bawang goreng, telur, cabai","Bawang putih, bawang merah, daun bawang, jahe, daun seledri, lada bubuk, cabai",Sedikit berminyak,Tidak ada,"Disajikan dengan kerupuk, acar timun, sambal roa","Wangi ikan roa atau ikan cakalang yang dominan, aroma bawang-bawangan","Gurih, pedas, rasa jahe yang kuat, rasa ikan yang khas",Pedas dengan dominan bumbu rempah tertentu,3,3,1,2,1,Aroma rempah yang kuat,2,3,3,2,4,Halal
,Dabu-dabu,"Cabai rawit merah, cabai rawit hijau, tomat merah, tomat hijau, bawang merah, air jeruk lemon/nipis",Tidak Ada,"Minyak goreng panas, garam, penyedap rasa/ kaldu jamur","Cabai rawit, tomat, bawang merah","Bentuk potongan kasar bawang, cabai, tomat, dengan tekstur sedikit berair dari air lemon","Tidak dimasak, hanya di potong-potong kasar semua bahan-bahan, kemudian di siram dengan minyak panas, lalu di campur",Disajikan dengan ikan bakar atau ikan goreng,"Aroma segar tomat, aroma lemon","Pedas, asam",Pedas dengan rasa cabai kuat,4,2,1,1,4,Agak berbau khas tertentu,3,3,4,3,4,Halal
,Perkedel milu,"Jagung manis, tepung terigu",Tidak Ada,"Daun bawang, bawang putih, bawang merah, lada bubuk, garam","Daun bawang, bawang putih, lada bubuk, garam","Renyah, adonan lembut",di goreng hingga berwarna keemasan,Tidak ada,"Wangi daun bawang, dan aroma jagung yang dominan","Renyah, gurih, rasa jagung yang manis",Gurih dengan dominan bumbuu rempah tertentu,1,3,1,2,1,Tidak beraroma,2,2,3,2,4,Halal
,Perkedel nike,"Ikan Nike, tepung terigu",Tidak ada,"Daun bawang, bawang merah, bawang putih, lada bubuk",Daun bawang,"Tipis, renyah, tekstur adonan lembut",Di goreng hingga berwarna keemasan,Tidak ada,"Bau ikan nike yang khas, dan aroma daun bawang","Gurih, rasa ikan nike yang khas, renyah",Gurih dengan dominan bumbuu rempah tertentu,1,3,1,2,1,Aroma rempah yang sedang,2,2,3,2,4,Halal
